,Country,lockdown
0,84017001,2020-03-21
1,84017003,2020-03-21
2,84017005,2020-03-21
3,84017007,2020-03-21
4,84017009,2020-03-21
5,84017011,2020-03-21
6,84017013,2020-03-21
7,84017015,2020-03-21
8,84017017,2020-03-21
9,84017019,2020-03-21
10,84017021,2020-03-21
11,84017023,2020-03-21
12,84017025,2020-03-21
13,84017027,2020-03-21
14,84017029,2020-03-21
15,84017031,2020-03-21
16,84017033,2020-03-21
17,84017035,2020-03-21
18,84017037,2020-03-21
19,84017039,2020-03-21
20,84017041,2020-03-21
21,84017043,2020-03-21
22,84017045,2020-03-21
23,84017047,2020-03-21
24,84017049,2020-03-21
25,84017051,2020-03-21
26,84017053,2020-03-21
27,84017055,2020-03-21
28,84017057,2020-03-21
29,84017059,2020-03-21
30,84017061,2020-03-21
31,84017063,2020-03-21
32,84017065,2020-03-21
33,84017067,2020-03-21
34,84017069,2020-03-21
35,84017071,2020-03-21
36,84017073,2020-03-21
37,84017075,2020-03-21
38,84017077,2020-03-21
39,84017079,2020-03-21
40,84017081,2020-03-21
41,84017083,2020-03-21
42,84017085,2020-03-21
43,84017087,2020-03-21
44,84017089,2020-03-21
45,84017091,2020-03-21
46,84017093,2020-03-21
47,84017095,2020-03-21
48,84017097,2020-03-21
49,84017099,2020-03-21
50,84017101,2020-03-21
51,84017103,2020-03-21
52,84017105,2020-03-21
53,84017107,2020-03-21
54,84017109,2020-03-21
55,84017111,2020-03-21
56,84017113,2020-03-21
57,84017115,2020-03-21
58,84017117,2020-03-21
59,84017119,2020-03-21
60,84017121,2020-03-21
61,84017123,2020-03-21
62,84017125,2020-03-21
63,84017127,2020-03-21
64,84017129,2020-03-21
65,84017131,2020-03-21
66,84017133,2020-03-21
67,84017135,2020-03-21
68,84017137,2020-03-21
69,84017139,2020-03-21
70,84017141,2020-03-21
71,84017143,2020-03-21
72,84017145,2020-03-21
73,84017147,2020-03-21
74,84017149,2020-03-21
75,84017151,2020-03-21
76,84017153,2020-03-21
77,84017155,2020-03-21
78,84017157,2020-03-21
79,84017159,2020-03-21
80,84017161,2020-03-21
81,84017163,2020-03-21
82,84017165,2020-03-21
83,84017167,2020-03-21
84,84017169,2020-03-21
85,84017171,2020-03-21
86,84017173,2020-03-21
87,84017175,2020-03-21
88,84017177,2020-03-21
89,84017179,2020-03-21
90,84017181,2020-03-21
91,84017183,2020-03-21
92,84017185,2020-03-21
93,84017187,2020-03-21
94,84017189,2020-03-21
95,84017191,2020-03-21
96,84017193,2020-03-21
97,84017195,2020-03-21
98,84017197,2020-03-21
99,84017199,2020-03-21
100,84017201,2020-03-21
101,84017203,2020-03-21
